Country,Life Expectancy
Afghanistan,"51,3"
Albania,"78,3"
Algeria,"76,8"
American Samoa,"75,4"
Andorra,"82,8"
Angola,"56,56"
Antigua and Barbuda,"76,5"
Argentina,"77,1"
Armenia,"74,6"
Aruba,"76,8"
Australia,"82,2"
Austria,"81,5"
Azerbaijan,"72,5"
The Bahamas,"72,4"
Bahrain,"78,9"
Bangladesh,"73,2"
Barbados,"75,3"
Belarus,"72,7"
Belgium,"81,81"
Belize,"68,7"
Benin,"61,9"
Bermuda,"81,3"
Bhutan,"70,1"
Bolivia,"69,2"
Bosnia and Herzegovina,"76,7"
Botswana,"54,5"
Brazil,"73,8"
British Virgin Islands,"78,6"
Brunei,"77,2"
Bulgaria,"74,5"
Burkina Faso,"55,5"
Burundi,"60,5"
Cabo Verde,"72,1"
Cambodia,"64,5"
Cameroon,"58,5"
Canada,"81,9"
Cayman Islands,"81,2"
Central African Republic,"52,3"
Chad,"50,2"
Guernsey,"82,5"
Chile,"78,8"
China,"75,5"
Colombia,"75,7"
Comoros,"64,2"
Democratic Republic of the Congo,"57,3"
Republic of the Congo,"59,3"
Costa Rica,"78,6"
Côte d'Ivoire,"58,7"
Croatia,"75,9"
Cuba,"78,7"
Curacao,"77,82"
Cyprus,"78,7"
Czech Republic,"78,6"
Denmark,"79,4"
Djibouti,"63,2"
Dominica,"77,77"
Dominican Republic,"78,1"
Ecuador,"76,8"
Egypt,"72,7"
El Salvador,"74,7"
Equatorial Guinea,"64,2"
Estonia,"76,7"
Ethiopia,"62,2"
Faroe Islands,"80,4"
Fiji,"72,7"
Finland,"80,9"
France,"81,8"
French Polynesia,"77,2"
Gabon,"52,1"
The Gambia,"64,9"
Georgia,"76,2"
Germany,"80,7"
Ghana,"66,6"
Gibraltar,"79,4"
Greece,"80,5"
Greenland,"72,4"
Grenada,"74,3"
Guam,"79,58"
Guatemala,"72,3"
Guinea,"60,6"
Guinea-Bissau,"50,6"
Guyana,"68,4"
Haiti,"63,8"
Honduras,"71,1"
Hong Kong,"82,9"
Hungary,"75,9"
Iceland,"83,83"
India,"68,5"
Indonesia,"72,7"
Iran,"71,4"
Iraq,"74,9"
Ireland,"80,8"
Isle of Man,"81,2"
Israel,"82,4"
Italy,"82,2"
Jamaica,"73,6"
Japan,"85,85"
Jordan,"74,6"
Kazakhstan,"70,8"
Kenya,"64,64"
Kiribati,"66,2"
North Korea,"70,4"
South Korea,"82,4"
Kosovo,"71,6"
Kuwait,"78,78"
Kyrgyzstan,"70,7"
Laos,"64,3"
Latvia,"74,5"
Lebanon,"77,6"
Lesotho,"53,53"
Liberia,"59,59"
Libya,"76,5"
Liechtenstein,"81,9"
Lithuania,"74,9"
Luxembourg,"82,3"
Macau,"84,5"
Macedonia,"76,2"
Madagascar,"65,9"
Malawi,"61,2"
Malaysia,"75,75"
Maldives,"75,6"
Mali,"55,8"
Malta,"80,4"
Marshall Islands,"73,1"
Mauritania,"63,63"
Mauritius,"75,6"
Mexico,"75,9"
Micronesia,"72,9"
Moldova,"70,7"
Monaco,"89,5"
Mongolia,"69,6"
Montserrat,"74,4"
Morocco,"76,9"
Mozambique,"53,3"
Myanmar,"66,6"
Namibia,"63,6"
Nauru,"67,1"
Nepal,"70,7"
Netherlands,"81,3"
New Caledonia,"77,7"
New Zealand,"81,2"
Nicaragua,"73,2"
Niger,"55,5"
Nigeria,"53,4"
Northern Mariana Islands,"78,78"
Norway,"81,8"
Oman,"75,5"
Pakistan,"67,7"
Palau,"73,1"
Panama,"78,6"
Papua New Guinea,"67,2"
Paraguay,"77,2"
Peru,"73,7"
Philippines,"69,2"
Poland,"77,6"
Portugal,"79,3"
Puerto Rico,"79,4"
Qatar,"78,7"
Romania,"75,1"
Russia,"70,3"
Rwanda,"60,1"
Samoa,"73,7"
San Marino,"83,3"
Sao Tome and Principe,"64,9"
Saudi Arabia,"75,3"
Senegal,"61,7"
Serbia,"75,5"
Seychelles,"74,7"
Sierra Leone,"58,2"
Singapore,"85,85"
Sint Maarten,"78,1"
Slovakia,"77,1"
Slovenia,"78,2"
Solomon Islands,"75,3"
Somalia,"52,4"
South Africa,"63,1"
Spain,"81,7"
Sri Lanka,"76,8"
Saint Kitts and Nevis,"75,7"
Saint Lucia,"77,8"
Saint Pierre and Miquelon,"80,5"
Saint Vincent and the Grenadines,"75,3"
Sudan,"64,1"
South Sudan,"56,8"
Suriname,"72,2"
Swaziland,"51,6"
Sweden,"82,1"
Switzerland,"82,6"
Syria,"74,9"
Tajikistan,"67,7"
Tanzania,"62,2"
Thailand,"74,7"
Timor-Leste,"68,1"
Togo,"65,65"
Tonga,"76,2"
Trinidad and Tobago,"72,9"
Tunisia,"76,1"
Turkey,"74,8"
Turkmenistan,"70,1"
Turks and Caicos Islands,"79,8"
Tuvalu,"66,5"
Uganda,"55,4"
Ukraine,"71,8"
United Arab Emirates,"77,5"
United Kingdom,"80,7"
United States,"79,8"
Uruguay,"77,2"
Uzbekistan,"73,8"
Vanuatu,"73,4"
Venezuela,"75,8"
Vietnam,"73,4"
Virgin Islands,"80,80"
West Bank,"75,75"
Yemen,"65,5"
Zambia,"52,5"
Zimbabwe,"58,58"
